code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
600791,京能置业,全国地产,北京,159.3,4.52,4.53,594594.13,516096.31,1585.29,17742.42,0.39,0.006999999999999999,3.57,1.19,19970130,89052.38,1.97,233.23,-52.1,10.22,0.94,31533.0
002662,京威股份,汽车配件,北京,0.0,14.57,15.0,1118476.88,409305.47,195755.88,165025.45,1.1,-0.018000000000000002,3.41,1.28,20120309,167319.69,1.12,2.09,-136.34,21.98,-1.97,29852.0
002447,晨鑫科技,互联网,辽宁,18.3,11.5,14.27,278472.5,77991.53,39287.96,0.0,0.0,0.051,1.51,2.46,20100713,69922.93,0.49,191.73,559.98,73.05,46.88,73862.0
300104,乐视网,互联网,北京,0.0,30.65,39.89,1745163.25,774229.19,49177.06,864323.38,2.17,-0.077,0.08,30.02,20100812,-1253557.0,-3.14,-89.59,-346.2,-23.79,-71.69,327059.0
300242,佳云科技,互联网,广东,35.3,5.08,6.35,330762.94,164064.88,819.47,125555.77,1.98,0.077,3.67,1.49,20110712,45015.65,0.71,72.5,-53.45,7.09,2.19,33590.0
000608,阳光股份,区域地产,广西,31.38,7.5,7.5,687136.88,165083.09,1085.1,51115.2,0.68,0.078,4.03,1.22,19960919,147138.0,1.96,-57.42,174.56,82.67,37.43,25903.0
300252,金信诺,电气设备,深圳,29.45,3.91,5.78,594326.38,372313.34,40186.28,113875.6,1.97,0.158,4.04,2.3,20110818,59868.05,1.04,28.46,-18.65,25.24,6.66,22621.0
600151,航天机电,半导体,上海,0.0,13.89,14.34,1441482.25,724763.19,395647.72,468947.09,3.27,-0.094,3.9,1.1,19980605,-78618.1,-0.55,39.76,-7.17,13.26,-9.33,118300.0
002282,博深工具,轻工机械,河北,79.16,1.84,4.38,252354.2,109995.32,35419.65,144143.23,3.29,0.04,4.76,2.28,20090821,18182.97,0.42,95.72,261.71,30.22,6.31,29600.0
601606,长城军工,专用机械,安徽,313.64,1.48,7.24,301683.69,157939.27,97678.93,33321.71,0.46,0.022000000000000002,2.9,4.73,20180806,67919.21,0.94,0.0,0.0,28.36,2.74,137357.0
000815,美利云,造纸,宁夏,167.3,3.17,6.95,287209.88,163407.84,74123.96,195943.09,2.82,0.013000000000000001,2.88,3.01,19980609,-72400.18,-1.04,42.48,191.04,14.26,3.58,21732.0
