"报表日期","货币资金","交易性金融资产","应收票据","应收账款","预付款项","应收保费","应收利息","应收股利","其他应收款","应收出口退税","应收补贴款","应收保证金","内部应收款","存货","待摊费用","待处理流动资产损益","一年内到期的非流动资产","其他流动资产","特殊处理本身不平流动资产","特殊处理格式不同流动资产","流动资产合计","发放贷款及垫款","可供出售金融资产","持有至到期投资","长期应收款","长期股权投资","其他长期投资","投资性房地产","固定资产原值","累计折旧","固定资产净值","固定资产减值准备","固定资产净额","在建工程","工程物资","固定资产清理","生产性生物资产","公益性生物资产","油气资产","无形资产","开发支出","商誉","长期待摊费用","股权分置流通权","递延所得税资产","其他非流动资产","特殊处理本身不平非流动资产","特殊处理格式不同非流动资产","非流动资产合计","特殊处理本身不平总资产","特殊处理格式不同总资产","资产总计","短期借款","交易性金融负债","应付票据","应付账款","预收款项","应付职工薪酬","应交税费","应付利息","应付股利","其他应交款","应付保证金","内部应付款","其他应付款","预提费用","预计流动负债","应付分保账款","国际票证结算","国内票证结算","一年内的递延收益","应付短期债券","一年内到期的非流动负债","其他流动负债","特殊处理本身不平流动负债","特殊处理格式不同流动负债","流动负债合计","长期借款","应付债券","长期应付款","专项应付款","预计非流动负债","长期递延收益","递延所得税负债","其他非流动负债","特殊处理本身不平长期负债","特殊处理格式不同长期负债","非流动负债合计","特殊处理本身不平负债合计","特殊处理格式不同负债合计","负债合计","实收资本(或股本)","资本公积","减：库存股","专项储备","盈余公积","一般风险准备","未确定的投资损失","未分配利润","拟分配现金股利","外币报表折算差额","特殊处理本身不平股东权益","特殊处理格式不同股东权益","归属于母公司股东权益合计","少数股东权益","特殊处理本身不平股东权益","特殊处理格式不平股东权益","所有者权益(或股东权益)合计","特殊处理本身不平负债及权益","特殊处理格式不同负债及权益","负债和所有者权益","结算备付金","拆出资金","衍生金融资产","应收分保账款","应收分保合同准备金","买入返售金融资产","向中央银行借款","吸收存款及同业存放","拆入资金","衍生金融负债","卖出回购金融资产款","应付手续费及佣金","保险合同准备金","代理买卖证券款","代理承销证券款"
20180331,215826187000,4808670000,18040286000,137286532000,49360454000,,81618000,25841000,69658270000,,,,,600020038000,,,50726490000,38138552000,,,1183972938000,,10416023000,0,245397450000,54591356000,,57543400000,,,,,33785835000,8232128000,,,,,,11190577000,,2149948000,446603000,,10652275000,2090469000,,,436496064000,,,1620469002000,43761243000,50028000,23922008000,408297472000,205872307000,5936733000,37068250000,3086021000,166356000,,,,83249235000,,,,,,,,62260647000,28577636000,,,902247936000,211770174000,101122896000,21008850000,641778000,518695000,964395000,4921759000,12437343000,,,355408656000,,,1257656592000,30000000000,24883282000,1273275000,55387000,5522490000,510725000,,146246674000,,,,,228079589000,134732821000,,,362812410000,,,1620469002000,,,,,,,,,,,,,,,
20171231,273252962000,4566740000,16937828000,137713669000,32967201000,,140488000,22240000,55547277000,,,,,535887230000,,,48542768000,34572333000,,,1140150736000,,10446884000,,225822172000,49910480000,,57113029000,61591205000,26937621000,34653584000,258302000,34395282000,7744931000,,,,,,11222860000,,2149948000,419074000,,10266177000,1341733000,,,410832570000,,,1550983306000,31031643000,50028000,15972528000,433329694000,188749833000,7721698000,38974061000,2903460000,1036356000,,,,72529891000,,,,,,,,67831836000,26281657000,,,886412685000,185852810000,97945752000,17343493000,640908000,528272000,977146000,4730699000,12740759000,,,322841428000,,,1209254113000,30000000000,24883282000,1273275000,55387000,5522490000,510725000,,138102075000,,,,,214755519000,126973674000,,,341729193000,,,1550983306000,,,,,,,,,,,,,,,
20170930,234025756000,2612862000,8516555000,157064078000,29671043000,,155969000,33117000,62498384000,,,,,589282402000,,,45820915000,34581482000,,,1166245563000,,11411692000,0,191065742000,41187014000,,50256721000,,,,,31755285000,11164157000,,,,,,11213642000,,2142342000,383301000,,9304681000,977087000,,,360861664000,,,1527107227000,43340862000,14121000,19473007000,443572746000,194554131000,5162778000,33105816000,2273486000,2911854000,,,,64765745000,,,,,,,,58817032000,19117735000,,,887109313000,171903970000,109526814000,21597341000,554158000,547983000,934703000,5493728000,12490126000,,,325132075000,,,1212241388000,30000000000,24587412000,1273275000,81608000,4978883000,473860000,,131550450000,,,,,207214472000,107651367000,,,314865839000,,,1527107227000,,,,,,,,,,,,,,,
20170630,251368877000,936942000,8497217000,154892646000,27955387000,,82765000,59699000,65222515000,,,,,554597141000,,,45461156000,29936807000,,,1140994152000,,10616757000,,166134662000,38494179000,,50763298000,57136607000,25307931000,31828676000,258490000,31570186000,10678525000,,,,,,11268835000,,2179281000,356895000,,9465099000,1372018000,,,332899735000,,,1473893887000,35674619000,14121000,21577920000,438641921000,176473304000,6169703000,30909895000,2728094000,3416874000,,,,63646117000,,,,,,,,71232833000,20991428000,,,871476829000,151614769000,106834117000,15632492000,608545000,547110000,894629000,5472622000,12821726000,,,296521936000,,,1167998765000,30000000000,24688503000,1273275000,48061000,4978883000,473860000,,123806000000,,,,,199567693000,106327429000,,,305895122000,,,1473893887000,,,,,,,,,,,,,,,
20170331,252910743000,1116609000,8862068000,133752638000,34304891000,,78665000,37211000,47719329000,,,,,537301419000,,,42693304000,24818096000,,,1083594973000,,10474786000,0,145058586000,33768156000,,34688611000,,,,,30444829000,12588829000,,,,,,12131538000,,2219559000,340316000,,8418265000,1067886000,,,291201361000,,,1374796334000,30770188000,2841000,20696812000,361346187000,200391581000,5425543000,30537456000,2347065000,1382343000,,,,47449927000,,,,,,,,53202501000,14097060000,,,767649504000,150572421000,120631265000,13396115000,560734000,493019000,870476000,5106932000,12703547000,,,306438067000,,,1074087571000,30000000000,24335875000,1273275000,62280000,4978883000,473860000,,120295086000,,,,,197687305000,103021458000,,,300708763000,,,1374796334000,,,,,,,,,,,,,,,
20161231,320860455000,1126826000,8848688000,138649310000,30917513000,,94830000,39599000,49489445000,,,,,494268894000,,,41310475000,24339695000,,,1109945730000,,10371159000,,137399530000,33476555000,,34935714000,53275410000,23194629000,30080781000,54754000,30026027000,11274811000,,,,,,12122130000,,2243067000,328776000,,8791737000,1038043000,,,282007549000,,,1391953279000,32318858000,2841000,19173309000,402419654000,180226902000,7157745000,31480001000,2408237000,1290518000,,,,52081811000,,,,,,,,55653536000,15404505000,,,799617917000,143666874000,121232466000,14465244000,595454000,499536000,867183000,5024967000,12838108000,,,301336548000,,,1100954465000,30000000000,24426078000,1273275000,36597000,4978883000,473860000,,113211608000,,,,,190490539000,100508275000,,,290998814000,,,1391953279000,,,,,,,,,,,,,,,
20160930,258119456000,1444836000,5552257000,157913204000,31736201000,,90349000,127016000,38988308000,,,,,524809663000,,,34095118000,15690181000,,,1069322276000,,7625648000,0,135212936000,29731197000,,32685385000,,,,,27561527000,11219255000,,,,,,12444074000,,5065355000,377493000,,8408586000,3443920000,,,273775376000,,,1343097652000,28817729000,0,17608594000,367911711000,186501157000,5295646000,28472540000,2351407000,1738068000,,,,41471943000,,,,,,,,80083651000,6420126000,,,766672572000,139361822000,116901249000,12947786000,74971000,499778000,890267000,4726672000,12344993000,,,289599965000,,,1056272537000,30000000000,15299994000,7482000,40693000,2920006000,161625000,,118042221000,,,,,186241535000,100583580000,,,286825115000,,,1343097652000,,,,,,,,,,,,,,,
20160630,226137998000,180240000,6418757000,160054268000,28826473000,,84677000,136920000,40900879000,,,,,397719818000,,,33962475000,13328676000,,,908506868000,,5276690000,,123307387000,28601116000,,32545828000,46046257000,21506122000,24540135000,56308000,24483827000,10899577000,,,,,,9023536000,,2172247000,382748000,,7893283000,1053057000,,,245639296000,,,1154146164000,30308057000,,17205802000,350481828000,123684549000,5403653000,30232462000,2652423000,1653484000,,,,49996791000,,,,,,,,46465533000,5895900000,,,663980482000,99626787000,108316622000,14262554000,70873000,444355000,873311000,1063787000,12085120000,,,238921741000,,,902902223000,30000000000,23654883000,7482000,32717000,2920006000,161625000,,100703354000,,,,,176111223000,75132718000,,,251243941000,,,1154146164000,,,,,,,,,,,,,,,
20160331,186652114000,184743000,7224698000,133170653000,33216713000,,245093000,6831000,36296103000,,,,,398537935000,,,28689656000,12157765000,,,837137991000,,6089340000,,125758124000,27349317000,,31952486000,,,,,24510343000,10679643000,,,,,,8748116000,,2115326000,315347000,,7241875000,915571000,,,245675488000,,,1082813479000,24738509000,,17528024000,289999187000,139863149000,4796998000,37003256000,2803074000,407420000,,,,40119435000,,,,,,,,34863040000,5607124000,,,597729216000,105644429000,103614457000,12008304000,50322000,411946000,882054000,1196906000,11680505000,,,237728433000,,,835457649000,30000000000,23528762000,,28951000,2920006000,161625000,,99085812000,,,,,174734299000,72621531000,,,247355830000,,,1082813479000,,,,,,,,,,,,,,,
20151231,216409816000,1130227000,6731344000,115556903000,27464856000,,324946000,6831000,34176902000,,,,,387589435000,,,33850912000,8468748000,,,832466607000,,5848967000,,125376445000,26326097000,,30597871000,44233432000,19733694000,24499738000,56325000,24443413000,10136821000,,,,,,8913027000,,2126048000,388866000,,7137341000,1143396000,,,242438292000,,,1074904899000,25602969000,,14218247000,320001082000,114519512000,5867475000,39244603000,2489054000,1342390000,,,,40408401000,,,,,,,,39317350000,7239894000,,,610250977000,98324864000,101172467000,13570706000,51692000,452609000,891716000,1208518000,7935452000,,,225871201000,,,836122178000,30000000000,23526065000,,24735000,2920006000,161625000,,92705780000,,,,,167977392000,70805329000,,,238782721000,,,1074904899000,,,,,,,,,,,,,,,
