"报表期起始日","报表期截止日","销售商品、提供劳务收到的现金","客户存款和同业存放款项净增加","向中央银行借款净增加额","向其他金融机构拆入资金净增加","收到原保险合同保费取得的现金","收到再保险业务现金净额","保户储金及投资款净增加额","处置交易性金融资产净增加额","收取利息、手续费及佣金的现金","拆入资金净增加额","回购业务资金净增加额","收到的税费返还","收到的其他与经营活动有关的现","特殊处理本身不平经营流入","特殊处理格式不同经营流入","经营活动现金流入小计","购买商品、接受劳务支付的现金","客户贷款及垫款净增加额","存放中央银行和同业款项净增加","支付原保险合同赔付款项的现金","支付利息、手续费及佣金的现金","支付保单红利的现金","支付给职工以及为职工支付的现","支付的各项税费","支付的其他与经营活动有关的现","特殊处理本身不平经营流出","特殊处理格式不同经营流出","经营活动现金流出小计","特殊处理本身不平经营净额","特殊处理格式不同经营净额","一、经营活动产生的现金流量净","收回投资所收到的现金","取得投资收益收到的现金","处置固定资产、无形资产和其他","处置子公司及其他营业单位收到","收到的其他与投资活动有关的现","减少质押和定期存款所收到的现","特殊处理本身不平投资流入","特殊处理格式不同投资流入","投资活动现金流入小计","购建固定资产、无形资产和其他","投资所支付的现金","质押贷款净增加额","取得子公司及其他营业单位支付","支付的其他与投资活动有关的现","增加质押和定期存款所支付的现","特殊处理本身不平投资流出","特殊处理格式不同投资流出","投资活动现金流出小计","特殊处理本身不平投资净额","特殊处理格式不同投资净额","二、投资活动产生的现金流量净","吸收投资收到的现金","其中：子公司吸收少数股东投资","取得借款收到的现金","发行债券收到的现金","收到其他与筹资活动有关的现金","特殊处理本身不平筹资流入","特殊处理格式不同筹资流入","筹资活动现金流入小计","偿还债务支付的现金","分配股利、利润或偿付利息所支","其中：子公司支付给少数股东的","支付其他与筹资活动有关的现金","特殊处理本身不平筹资流出","特殊处理格式不同筹资流出","筹资活动现金流出小计","特殊处理本身不平筹资净额","特殊处理格式不同筹资净额","三、筹资活动产生的现金流量净","四、汇率变动对现金及现金等价","特殊处理本身不平现金净额","特殊处理格式不同现金净额","五、现金及现金等价物净增加额","期初现金及现金等价物余额","特殊处理本身不平现金期末","特殊处理格式不同现金期末","六、期末现金及现金等价物余额","净利润","少数股东权益","未确认的投资损失","资产减值准备","固定资产折旧、油气资产折耗、","投资性房地产折旧、摊销","无形资产摊销","长期待摊费用摊销","待摊费用的减少","预提费用的增加","处置固定资产、无形资产和其他","固定资产报废损失","公允价值变动损失","递延收益增加（减：减少）","预计负债","财务费用","投资损失","递延所得税资产减少","递延所得税负债增加","存货的减少","经营性应收项目的减少","经营性应付项目的增加","已完工尚未结算款的减少(减:","已结算尚未完工款的增加(减:","其他","特殊处理本身不平经营净额附表","特殊处理格式不同经营净额附表","经营活动产生现金流量净额","债务转为资本","一年内到期的可转换公司债券","融资租入固定资产","现金的期末余额","现金的期初余额","现金等价物的期末余额","现金等价物的期初余额","特殊处理本身不平现金净额附表","特殊处理格式不同现金净额附表","现金及现金等价物的净增加额"
20180101,20180331,291752300000,,,,,,,,,,,83891000,6242533000,,,298078724000,346293955000,,,,,,14746342000,19326719000,6962589000,,,387329605000,,,-89250881000,2000413000,753153000,1989000,0,589177000,,,,3344732000,2423438000,7423384000,,0,1498947000,,,,11345769000,,,-8001037000,10978944000,4978944000,63173820000,3996500000,0,,,78149264000,29611291000,4007734000,,,,,33619025000,,,44530239000,-1894485000,,,-54616164000,253820821000,,,199204657000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199204657000,253820821000,,,,,-54616164000
20170101,20171231,1056797089000,,,,,,,,,,,21856000,16883753000,,,1073702698000,992488711000,,,,,,53257382000,46556284000,24857253000,,,1117159630000,,,-43456932000,14973186000,1439962000,1011990000,1866037000,13686375000,,,,32977550000,17418349000,35206789000,,1941253000,24091493000,,,,78657884000,,,-45680334000,19425197000,11937560000,139975113000,17077879000,9725422000,,,186203611000,119904290000,29227020000,4525790000,2517374000,,411766000,152060450000,,,34143161000,-2635053000,,,-57629158000,311449979000,,,253820821000,46649023000,,,7049491000,5819292000,1192411000,572786000,144813000,,,-45490000,,461488000,,,8177282000,-4410918000,-1689346000,-1590171000,-55545031000,-79759851000,35498214000,,,-49790000,,-5931135000,-43456932000,,,,253820821000,311449979000,,,,,-57629158000
20170101,20170930,745502890000,,,,,,,,,,,340824000,17480775000,,,763324489000,722840596000,,,,,,35679379000,50598029000,29460986000,,,838578990000,,,-75254501000,8888178000,1485378000,737537000,1866037000,9103892000,,,,22081022000,9585282000,23365751000,,2447625000,14471358000,,,,49870016000,,,-27788994000,1959203000,1959203000,92551901000,7159000000,7032468000,,,108702572000,69536476000,21514495000,2405304000,2717218000,,27536000,93795725000,,,14906847000,-423457000,,,-88560105000,311449979000,,,222889874000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222889874000,311449979000,,,,,-88560105000
20170101,20170630,462975061000,,,,,,,,,,,28260000,11689038000,,,474692359000,434365556000,,,,,,26791899000,49093072000,23168172000,,,533418699000,,,-58726340000,7709181000,540260000,706671000,1866037000,9103892000,,,,19926041000,9582639000,15411681000,,2447625000,9540312000,,,,36982257000,,,-17056216000,1910203000,1910203000,54886326000,7159000000,4953226000,,,68908755000,47125341000,16100942000,2389018000,2717218000,,27536000,65971037000,,,2937718000,-882814000,,,-73727652000,311449979000,,,237722327000,25454262000,,,3213602000,2797057000,459875000,251898000,65198000,,,4677000,,323949000,,,5551246000,-3607513000,-722060000,-772841000,-21521635000,-114418495000,44702426000,,,114985000,,-622971000,-58726340000,,,,237722327000,311449979000,,,,,-73727652000
20170101,20170331,255888313000,,,,,,,,,,,152258000,4755521000,,,260796092000,286430041000,,,,,,11903758000,13336866000,15917788000,,,327588453000,,,-66792361000,61693000,689816000,9797000,0,776601000,,,,1537907000,2725928000,3572046000,,0,7977133000,,,,14275107000,,,-12737200000,0,0,32469763000,0,100486000,,,32570249000,17884659000,3281779000,,518418000,,,21684856000,,,10885393000,81763000,,,-68562405000,311449979000,,,242887574000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242887574000,311449979000,,,,,-68562405000
20160101,20161231,926182282000,,,,,,,,,,,36032000,14605117000,,,940823431000,723430890000,,,,,,46649809000,53191918000,10502956000,,,833775573000,,,107047858000,14652553000,1904533000,2267717000,,12649006000,,,9784847000,41258656000,13133948000,22007838000,,,10816008000,,,32976000,45990770000,,,-4732114000,812871000,812871000,115242249000,30961353000,5305079000,,,152321552000,120951433000,26963522000,3769500000,3841370000,,2480002000,154236327000,,,-1914775000,1905317000,,,102306286000,209143693000,,,311449979000,41172239000,,,5365548000,5316726000,830757000,504485000,141408000,,,-220379000,,-746456000,,,9964590000,-6131509000,-1304428000,-1438532000,932712000,-87890627000,141846683000,,,-203180000,,-1092179000,107047858000,,,,311449979000,209143693000,,,,,102306286000
20160101,20160930,657209069000,,,,,,,,,,,226467000,16842358000,,,674277894000,559401551000,,,,,,31394972000,38044756000,22016534000,,,650857813000,,,23420081000,6241506000,822640000,179640000,16000000,15832106000,,,,23091892000,7206891000,12181539000,,381609000,7028241000,,,,26798280000,,,-3706388000,206267000,206267000,74438682000,36169603000,7281763000,,,118096315000,79405944000,17687481000,1422701000,2717318000,,165803000,99976546000,,,18119769000,323745000,,,38157207000,209143693000,,,247300900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247300900000,209143693000,,,,,38157207000
20160101,20160630,410190181000,,,,,,,,,,,42178000,7286823000,,,417519182000,348891562000,,,,,,22374044000,31154301000,7928430000,,,410348337000,,,7170845000,6241506000,822640000,179640000,16000000,4513322000,,,,11773108000,5352939000,10635365000,,381609000,7028241000,,,,23398154000,,,-11625046000,206267000,206267000,39044644000,22761153000,7281763000,,,69293827000,41717762000,14612463000,1422701000,2551515000,,165803000,59047543000,,,10246284000,687575000,,,6479658000,209143693000,,,215623351000,21448761000,,,3085631000,2492885000,404010000,176692000,152381000,,,-76516000,,-928994000,,,3830556000,-1975000,-796640000,-99274000,11610871000,-68428086000,34598546000,,,-48430000,,-249573000,7170845000,,,,215623351000,209143693000,,,,,6479658000
20160101,20160331,224417272000,,,,,,,,,,,33704000,5878992000,,,230329968000,234357839000,,,,,,11751149000,11556859000,10328274000,,,267994121000,,,-37664153000,760000000,90000000,15095000,0,0,,,,865095000,1507915000,2287199000,,0,0,,,,3795114000,,,-2930019000,0,0,22555533000,13700384000,102257000,,,36358174000,27561325000,4129639000,0,153693000,,,31844657000,,,4513517000,27250000,,,-36053405000,209143693000,,,173090288000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173090288000,209143693000,,,,,-36053405000
20150101,20151231,796860313000,,,,,,,,,,,35824000,10054388000,,,806950525000,655417782000,,,,,,39031581000,47255971000,10641550000,,,752346884000,,,54603641000,11378278000,1300378000,907616000,,2468078000,,,,16054350000,13506484000,15084308000,,725127000,4732188000,,,66000,34048173000,,,-17993823000,15355966000,380556000,111123055000,30484408000,3184228000,,,160147657000,110457047000,21704776000,2436575000,773774000,,261622000,133197219000,,,26950438000,464996000,,,64025252000,145118441000,,,209143693000,35942808000,,,3756309000,5155938000,601757000,295637000,397624000,,,-223785000,,607581000,,,9391893000,-1855143000,-1183348000,111868000,5023633000,-93542419000,91172072000,,,-188641000,,-860143000,54603641000,,,,209143693000,145118441000,,,,,64025252000
