"报表期起始日","报表期截止日","营业总收入","营业收入","利息收入","已赚保费","手续费及佣金收入","房地产销售收入","其他业务收入","特殊处理本身不平营业总收入","特殊处理格式不同营业总收入","营业总成本","营业成本","利息支出","手续费及佣金支出","房地产销售成本","研发费用","退保金","赔付支出净额","提取保险合同准备金净额","保单红利支出","分保费用","其他业务成本","营业税金及附加","销售费用","管理费用","财务费用","资产减值损失","特殊处理本身不平营业总成本","特殊处理格式不同营业总成本","公允价值变动收益","投资收益","其中:对联营企业和合营企业的投资收益","汇兑收益","期货损益","托管收益","补贴收入","其他业务利润","特殊处理本身不平营业利润","特殊处理格式不同营业利润","营业利润","营业外收入","营业外支出","非流动资产处置损失","特殊处理本身不平利润总额","特殊处理格式不同利润总额","利润总额","所得税费用","未确认投资损失","特殊处理本身不平净利润1","特殊处理格式不同净利润1","净利润","归属于母公司所有者的净利润","被合并方在合并前实现净利润","少数股东损益","特殊处理本身不平净利润2","特殊处理格式不同净利润2","基本每股收益","稀释每股收益","其他综合收益","归属于母公司所有者的其他综合收益","归属于少数股东的其他综合收益","综合收益总额","归属于母公司所有者的综合收益总额","归属于少数股东的综合收益总额","年初未分配利润","减少注册资本减少的未分配利润","其他转入","可分配利润","提取法定盈余公积","提取公益金","提取资本公积金","提取职工奖福基金","提取储备基金","提取企业发展基金","利润归还投资","补充流动资本","可供股东分配的利润","应付优先股股利","提取任意公积","应付普通股股利","转作资本股本的普通股股利","未分配利润","出售处置部门或被投资单位所得收益","自然灾害发生的损失","会计政策变更增加减少利润总额","会计估计变更增加减少利润总额","债务重组损失","其他补充资料"
20180101,20180630,588926767000,588926767000,,,,,,,,555025371000,527069529000,,,,778463000,,,,,,,6804194000,1460687000,10900950000,5388682000,2622866000,,,-300701000,2399592000,2124403000,,,,,,,,36080933000,200559000,80044000,,,,36201448000,8657468000,,,,27543980000,19137676000,,8406304000,,,0.42,0.42,-1112366000,-1241420000,129054000,26431614000,17896256000,8535358000,,,,,,,,,,,,,,,,,,,,,,,,
20180101,20180331,270160699000,270160699000,,,,,,,,257131524000,246204771000,,,,,,,,,,,1989254000,792065000,6245239000,1604571000,295624000,,,-3704000,727627000,711908000,,,,,,,,13759499000,88693000,35311000,,,,13812881000,3298074000,,,,10514807000,8144599000,,2370208000,,,0.27,0.27,-386249000,-820529000,434280000,10128558000,7324070000,2804488000,,,,,,,,,,,,,,,,,,,,,,,,
20170101,20171231,1054106503000,1054106503000,,,,,,,,998593047000,943539121000,,,,,,,,,,,14068330000,3487820000,20508774000,9939511000,7049491000,,,-461488000,4410918000,1865218000,,,,,,,,59697728000,1050155000,348269000,,,,60399614000,13750591000,,,,46649023000,32941799000,,13707224000,,,1.07,1.05,-4044457000,-1681953000,-2362504000,42604566000,31259846000,11344720000,,,,,,,,,,,,,,,,,,,,,,,,
20170101,20170930,770899430000,770899430000,,,,,,,,730376127000,697192101000,,,,,,,,,,,8619814000,1914948000,14051020000,5520723000,3077521000,,,-306010000,4025930000,2541396000,,,,,,,,44272950000,964885000,203196000,19075000,,,45034639000,10360863000,,,,34673776000,25782179000,0,8891597000,,,0.83,0.82,-3478053000,-1821254000,-1656799000,31195723000,23960925000,7234798000,,,,,,,,,,,,,,,,,,,,,,,,
20170101,20170630,525254692000,525254692000,,,,,,,,496101999000,470557403000,,,,,,,,,,,6505490000,1288035000,9998115000,4539354000,3213602000,,,-323949000,3607513000,1333045000,,,,,,,,32465717000,659395000,84842000,17341000,,,33040270000,7586008000,,,,25454262000,18037729000,,7416533000,,,0.57,0.56,-2814760000,-1791127000,-1023633000,22639502000,16246602000,6392900000,,,,,,,,,,,,,,,,,,,,,,,,
20170101,20170331,234827342000,234827342000,,,,,,,,223468966000,213841452000,,,,,,,,,,,2081985000,706708000,5199305000,1361073000,278443000,,,16576000,496829000,480108000,,,,,,,,11871781000,150945000,24288000,2985000,,,11998438000,2859693000,,,,9138745000,7083478000,0,2055267000,,,0.24,0.24,324223000,177808000,146415000,9462968000,7261286000,2201682000,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20161231,959765486000,959765486000,,,,,,,,915490635000,862788327000,,,,,,,,,,,18297181000,3207608000,17717529000,8114442000,5365548000,,,746456000,6137484000,1423999000,,,,,,,,51158791000,1225859000,271863000,-52121000,,,52112787000,10940548000,,,,41172239000,29870104000,,11302135000,,,0.96,0.94,-289561000,-2393000,-287168000,40882678000,29867711000,11014967000,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160930,670200687000,670200687000,,,,,,,,635589604000,606772827000,,,,,,,,,,,5625024000,1807775000,12767023000,4533178000,4083777000,,,836516000,6570898000,1187056000,,,,,,,,42018497000,460360000,97621000,9954000,,,42381236000,9621058000,,,,32760178000,24765623000,,7994555000,,,0.79,0.78,927831000,1145297000,-217466000,33688009000,25910920000,7777089000,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160630,469694799000,469694799000,,,,,,,,442897060000,421577363000,,,,,,,,,,,5754771000,1061301000,8274790000,3143204000,3085631000,,,928994000,1975000,1005898000,,,,,,,,27728708000,413938000,60955000,9721000,,,28081691000,6632930000,,,,21448761000,16100310000,,5348451000,,,0.51,0.5,-488432000,6939000,-495371000,20960329000,16107249000,4853080000,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160331,214063498000,214063498000,,,,,,,,203686898000,191571233000,,,,,,,,,,,6330277000,356734000,4328929000,1297715000,-197990000,,,-68639000,394012000,386334000,,,,,,,,10701973000,124015000,27546000,395000,,,10798442000,2509914000,,,,8288528000,6380032000,,1908496000,,,0.21,0.21,489383000,369962000,119421000,8777911000,6749994000,2027917000,,,,,,,,,,,,,,,,,,,,,,,,
